id	time	stream	text	context	notes
311	2019-10-08 13:18:20.03	RN	" done"	None	None
312	2019-10-08 13:18:20.11	DM->CMD	"done"	None	None
313	2019-10-08 13:17:59.05	CMD	"move forward twenty five feet"	None	None
314	2019-10-08 13:18:22.20	DM->RN	" move forward 5 feet"	None	None
315	2019-10-08 13:18:22.20	DM->CMD	"I will move forward 5 feet."	None	None
316	2019-10-08 13:18:24.24	RN	" moving. . ."	None	None
317	2019-10-08 13:18:24.31	DM->CMD	"moving. . ."	None	None
318	2019-10-08 13:18:32.25	RN	" done"	None	None
319	2019-10-08 13:18:32.30	DM->CMD	"done"	None	None
320	2019-10-08 13:18:12.05	CMD	"move forward twenty feet"	None	None
321	2019-10-08 13:18:35.46	DM->CMD	"Can you repeat that? <beep>"	None	None
322	2019-10-08 13:18:15.69	CMD	"move forward twenty feet"	None	None
323	2019-10-08 13:18:39.15	DM->CMD	"Can you repeat that? <beep>"	None	None
324	2019-10-08 13:18:19.01	CMD	"move forward twenty feet"	None	None
325	2019-10-08 13:18:42.14	DM->CMD	"Can you repeat that? <beep>"	None	None
326	2019-10-08 13:18:22.07	CMD	"move forward ten feet"	None	None
327	2019-10-08 13:18:45.15	DM->CMD	"Can you repeat that? <beep>"	None	None
328	2019-10-08 13:18:26.28	CMD	"go twenty feet"	None	None
329	2019-10-08 13:18:49.80	DM->CMD	"Can you repeat that? <beep>"	None	None
330	2019-10-08 13:18:32.42	CMD	"cancel"	None	None
331	2019-10-08 13:18:54.71	DM->RN	" cancel command"	None	None
332	2019-10-08 13:18:54.75	DM->CMD	"Processing...."	None	None
333	2019-10-08 13:18:51.32	CMD	"go straight twenty feet"	None	None
334	2019-10-08 13:19:14.50	DM->CMD	"How far forward should I go? <beep>"	None	None
335	2019-10-08 13:18:56.55	CMD	"twenty feet"	None	None
336	2019-10-08 13:19:19.45	DM->RN	" move forward 20"	None	None
337	2019-10-08 13:19:19.46	DM->CMD	"I will move forward 20."	None	None
338	2019-10-08 13:19:21.93	RN	" moving. . ."	None	None
339	2019-10-08 13:19:21.96	DM->CMD	"moving. . ."	None	None
340	2019-10-08 13:19:42.11	RN	" done"	None	None
341	2019-10-08 13:19:42.24	DM->CMD	"done"	None	None
342	2019-10-08 13:19:25.27	CMD	"go forward ten feet"	None	None
343	2019-10-08 13:19:48.94	DM->RN	" move forward 10ft"	None	None
344	2019-10-08 13:19:48.95	DM->CMD	"I will move forward 10ft."	None	None
345	2019-10-08 13:19:50.70	RN	" moving. . ."	None	None
346	2019-10-08 13:19:50.74	DM->CMD	"moving. . ."	None	None
347	2019-10-08 13:20:04.63	RN	" done"	None	None
